symbol,dtw_distance,effective_lag_btc_leads,lag_bars_abs,train_end,train_size,test_size,overlap_bars
XRPUSD,189.87539497040402,-67.27670349907919,67,2025-08-31T06:00:00+00:00,247320,105994,353313
BNBUSD,297.7415671415149,-50.645802285146544,51,2025-08-24T23:06:00+00:00,268446,115048,383493
BCHUSDT,304.65900110709816,-110.08980582524272,110,2025-08-24T23:06:00+00:00,268446,115048,383493
SUIUSD,305.3914274488356,-238.64361948955917,239,2025-08-24T23:23:00+00:00,268405,115031,383435
SHIBUSD,308.3806466411871,62.863207547169814,63,2025-08-24T23:06:00+00:00,268446,115048,383493
UNIUSDT,309.12660932892004,-102.03300790330078,102,2025-08-24T23:06:00+00:00,268446,115048,383493
AAVEUSDT,314.3721083176926,-167.96464426014842,168,2025-08-24T23:06:00+00:00,268446,115048,383493
DOTUSDT,314.7939771746503,43.30969609261939,43,2025-08-24T23:06:00+00:00,268446,115048,383493
AVAXUSD,322.2745925493694,36.03348416289593,36,2025-08-25T06:18:00+00:00,267438,114616,382053
SHIBUSDT,323.47043368343117,51.61798265632132,52,2025-08-24T23:06:00+00:00,268446,115048,383493
HBARUSD,324.8959263981145,101.34336198662847,101,2025-08-24T23:06:00+00:00,268446,115048,383493
LTCUSDT,326.70080454244805,110.4571565342269,110,2025-08-24T23:06:00+00:00,268446,115048,383493
LTCUSD,327.1287777894597,52.27522935779817,52,2025-08-25T06:18:00+00:00,267438,114616,382053
DOGEUSD,327.6028576311987,45.81421272642824,46,2025-08-24T23:06:00+00:00,268446,115048,383493
SOLUSD,335.47399749413034,-224.20579710144926,224,2025-08-24T23:06:00+00:00,268446,115048,383493
ADAUSD,337.23191982791866,91.11491557223265,91,2025-08-24T23:06:00+00:00,268446,115048,383493
LINKUSD,339.16451259255723,-18.6090108751942,19,2025-08-25T06:18:00+00:00,267438,114616,382053
DOTUSD,345.6375185896328,61.102895322939865,61,2025-08-25T06:18:00+00:00,267438,114616,382053
XLMUSDT,349.16882727850117,-46.2910592808552,46,2025-08-24T23:06:00+00:00,268446,115048,383493
XLMUSD,350.19255055973883,93.97046843177189,94,2025-08-24T23:06:00+00:00,268445,115048,383492
ZECUSDT,351.3257754443329,-548.1561674839683,548,2025-08-24T23:06:00+00:00,268446,115048,383493
AVAXUSDT,358.4330168982831,-61.17871287128713,61,2025-08-24T23:06:00+00:00,268446,115048,383493
NEARUSD,372.05321374974454,47.16341829085457,47,2025-08-25T13:30:00+00:00,266430,114184,380613
UNIUSD,373.6209339861836,-22.14876033057851,22,2025-08-25T13:30:00+00:00,266430,114184,380613
HBARUSDT,375.95921085515437,121.59852330410706,122,2025-08-24T23:06:00+00:00,268446,115048,383493
SUIUSDT,376.84027871706905,-100.91162790697675,101,2025-08-24T23:06:00+00:00,268446,115048,383493
ETHUSD,389.8442198923489,-105.11016949152543,105,2025-08-24T23:06:00+00:00,268446,115048,383493
LINKUSDT,390.2686452011549,-92.82900136798905,93,2025-08-24T23:06:00+00:00,268446,115048,383493
BTCUSDT,401.5540187910668,0.0456575682382134,1,2025-08-24T23:06:00+00:00,268446,115048,383493
BNBUSDT,411.4900951531618,-40.05044074436827,40,2025-08-24T23:06:00+00:00,268446,115048,383493
DOGEUSDT,433.6220090827632,36.871442125237195,37,2025-08-24T23:06:00+00:00,268446,115048,383493
HYPEUSD,453.3367842424881,-19.626418520199728,20,2025-09-26T00:54:00+00:00,160673,68860,229532
XRPUSDT,470.3762212045438,38.806404657933044,39,2025-08-24T23:06:00+00:00,268446,115048,383493
ICPUSD,471.7144091932403,91.15114422565195,91,2025-08-26T11:06:00+00:00,263406,112888,376293
HYPEUSDT,474.8853010612254,-117.76487386958591,118,2025-09-26T00:57:00+00:00,160665,68857,229521
BCHUSD,490.217422689943,-47.48197343453511,47,2025-08-26T11:06:00+00:00,263406,112888,376293
ADAUSDT,498.09688332747226,-76.27268195413758,76,2025-08-24T23:06:00+00:00,268446,115048,383493
ETHUSDT,561.0268822894421,52.95245398773006,53,2025-08-24T23:06:00+00:00,268446,115048,383493
SOLUSDT,569.5812299013352,-115.32878048780488,115,2025-08-24T23:06:00+00:00,268446,115048,383493
WLFIUSDT,828.549714882205,-52.280837004405285,52,2025-11-08T12:42:00+00:00,14539,6232,20770
USD1USDT,831.2115000108705,0.0,1,2025-11-08T12:54:00+00:00,14513,6220,20732
